grupo_comercial_id,nome_grupo_comercial,is_ka
C02,MRV,true
C45,TENDA,true
CMN,CURY CONSTRUTORA,true
C49,DIRECIONAL,true
C48,CYRELA,true
C15,PLANO & PLANO,true
CE1,ECON CONSTRUTORA,true
C01,PACAEMBU,true
C57,TRISUL,true
C65,BRZ,true
CTX,CONSTRUTORA P4,true
E287,LAVVI,true
CII,GRAAL ENGENHARIA,true
CGI,TOLEDO FERRARI,true
C16,VIBRA,true
C03,EMCCAMP,true
